all like: 200188
all boo: 31967
like #1: sulin209 2662
like #2: kai6366 1968
like #3: lovegogi 1107
like #4: Krishna 884
like #5: htc10 878
like #6: lck0 749
like #7: starryice 727
like #8: bbflisky 646
like #9: William0703 582
like #10: yoyonigo 502
boo #1: OCG5566 688
boo #2: htc10 629
boo #3: NeGe56 284
boo #4: BradleyBeal 222
boo #5: bh0925 214
boo #6: zxnstu3104 147
boo #7: yoyonigo 143
boo #8: yuigood 142
boo #9: jay3u7218 130
boo #10: dontkissme 126
