all like: 18196
all boo: 2686
like #1: kai6366 142
like #2: cuba391156 131
like #3: sulin209 129
like #4: lovegogi 96
like #5: wangtenghong 77
like #6: bb1490tw 65
like #7: Krishna 56
like #8: mikechan 53
like #9: TheDivision 52
like #10: yoyonigo 48
boo #1: DarrenD 23
boo #2: bh0925 23
boo #3: Viagra 21
boo #4: kkkk666 20
boo #5: cityhunter04 19
boo #6: wangtenghong 18
boo #7: OCG5566 16
boo #8: jordonmi 16
boo #9: andy199113 15
boo #10: yoyonigo 14
